year,base_vehicle,driveline,charging_point,storage_cng,depollution_veh_cost,electronic_euro,battery_total,fuel_cell_total,storage_total,subsidies,veh_price,veh_cost,powertrain_type,region
2024,20000.0,7500.0,1500.0,,0.0,3772.4500000000003,7378.909999999998,,,-3750.0,36401.36,4785.02679087172,BEV,western europe
2025,20000.0,7500.0,1500.0,,0.0,3583.8275,7121.478099999998,,,-3750.0,35955.3056,4726.392106503163,BEV,western europe
2026,20000.0,7500.0,1500.0,,0.0,3404.6361249999995,6872.457251,,,-3750.0,35527.093376000004,4670.102809509348,BEV,western europe
2027,20000.0,7500.0,1500.0,,0.0,3234.4043187499997,6631.605322209998,,,-3750.0,35116.009640959994,4616.065084395285,BEV,western europe
2028,20000.0,7500.0,1500.0,,0.0,3072.6841028125,6398.685152509097,,,-0.0,38471.369255321595,5057.133375462687,BEV,western europe
2029,20000.0,7500.0,1500.0,,0.0,2919.0498976718745,6173.464587436859,,,-0.0,38092.51448510873,5007.332207997567,BEV,western europe
2030,20000.0,7500.0,1500.0,,0.0,2773.0974027882808,5955.716502916104,,,-0.0,37728.81390570439,4959.523087231053,BEV,western europe
2022,20000.0,3500.0,,,0.0,6308.0,1760.0,14504.5,2835.0,-5000.0,43907.5,5940.466813481316,FCEV,western europe
2023,20000.0,3500.0,,,0.0,5992.6,1689.6,13258.9625,2679.075,-5000.0,42120.237499999996,5698.65906837559,FCEV,western europe
2024,20000.0,3500.0,,,0.0,5692.97,1622.0159999999998,12114.725312499999,2531.7258749999996,-5000.0,40461.4371875,5474.231619611742,FCEV,western europe
2025,20000.0,3500.0,,,0.0,5408.3215,1557.1353599999998,11063.796664062504,2392.480951875,-5000.0,38921.7344759375,5265.9174851093385,FCEV,western europe
2026,20000.0,3500.0,,,0.0,5137.905425,1494.8499455999997,10098.803876757815,2260.8944995218744,-5000.0,37492.45374687969,5072.542896756181,FCEV,western europe
2027,20000.0,3500.0,,,0.0,4881.0101537499995,1435.0559477759996,9212.94595037598,2136.5453020481714,-5000.0,36165.55735395015,4893.020400892695,FCEV,western europe
2028,20000.0,3500.0,,,0.0,4636.9596460625,1377.6537098649596,8399.949750254034,2019.0353104355218,-5000.0,34933.59841661702,4726.34247154579,FCEV,western europe
2029,20000.0,3500.0,,,0.0,4405.111663759374,1322.5475614703612,7654.029527833419,1907.988368361568,-5000.0,33789.67712142472,4571.575598202413,FCEV,western europe
2030,20000.0,3500.0,,,0.0,4184.856080571405,1269.6456590115467,6969.84952165193,1803.049008101682,-4500.0,33227.40026933656,4495.502330997073,FCEV,western europe
