powertrain_type,region,year,veh_cost,fuel_cost,insurance_euro,mr_euro,quartile,km,value,TCO,TCO_percent
PHEV,western europe,2021,4876.363242552687,4.2,1578.0,1104.6,Q2,10000,35,0.7978963242552687,0.27926371348934403
PHEV,western europe,2021,4876.363242552687,4.2,1578.0,1104.6,Q3,20000,20,0.4199481621276343,0.08398963242552686
PHEV,western europe,2021,4876.363242552687,4.2,1578.0,1104.6,Q4,40000,10,0.23097408106381717,0.02309740810638172
BEV,western europe,2021,4909.727291481931,2.25,1867.5,1120.5,Q1,2500,35,3.1815909165927727,1.1135568208074704
BEV,western europe,2021,4909.727291481931,2.25,1867.5,1120.5,Q2,10000,35,0.8122727291481932,0.2842954552018676
BEV,western europe,2021,4909.727291481931,2.25,1867.5,1120.5,Q3,20000,20,0.4173863645740966,0.08347727291481932
BEV,western europe,2021,4909.727291481931,2.25,1867.5,1120.5,Q4,40000,10,0.2199431822870483,0.02199431822870483
FCEV,western europe,2021,6191.10086852827,8.25,2288.0,1830.4,Q1,2500,35,4.206300347411307,1.4722051215939576
FCEV,western europe,2021,6191.10086852827,8.25,2288.0,1830.4,Q2,10000,35,1.113450086852827,0.38970753039848943
FCEV,western europe,2021,6191.10086852827,8.25,2288.0,1830.4,Q3,20000,20,0.5979750434264135,0.1195950086852827
FCEV,western europe,2021,6191.10086852827,8.25,2288.0,1830.4,Q4,40000,10,0.34023752171320676,0.03402375217132068
ICE-G,western europe,2022,4140.891473397084,7.499250000000001,1608.0,1876.0,Q1,2500,35,3.1249490893588336,1.0937321812755918
