powertrain_type,region,insurance_rate,mr_rate
ICE-G,western europe,6.0,7.0
ICE-D,western europe,6.0,7.0
CNG,western europe,5.0,6.0
HEV,western europe,5.5,4.5
PHEV,western europe,5.0,3.5
BEV,western europe,5.0,3.0
FCEV,western europe,5.0,4.0
