e_propulsion_system_design,e_propulsion_system_design2,e_fuel_type,vp_source_plant_region,region,vp_source_plant_country,period_year,sum_volume
Hybrid-Full,HEV-Full (DIESEL),DIESEL,Europe,Western Europe,FR,2026,0
Hybrid-Full,HEV-Full (DIESEL),DIESEL,Europe,Western Europe,FR,2027,0
Hybrid-Full,HEV-Full (DIESEL),DIESEL,Europe,Western Europe,FR,2028,0
Hybrid-Full,HEV-Full (DIESEL),DIESEL,Europe,Western Europe,FR,2029,0
Hybrid-Full,HEV-Full (DIESEL),DIESEL,Europe,Western Europe,GB,2017,366
Hybrid-Full,HEV-Full (DIESEL),DIESEL,Europe,Western Europe,GB,2018,0
Hybrid-Full,HEV-Full (DIESEL),DIESEL,Europe,Western Europe,GB,2019,0
Hybrid-Full,HEV-Full (DIESEL),DIESEL,Europe,Western Europe,GB,2020,0
Hybrid-Full,HEV-Full (DIESEL),DIESEL,Europe,Western Europe,GB,2021,0
Hybrid-Full,HEV-Full (DIESEL),DIESEL,Europe,Western Europe,GB,2022,0
Hybrid-Full,HEV-Full (DIESEL),DIESEL,Europe,Western Europe,GB,2023,0
Hybrid-Full,HEV-Full (DIESEL),DIESEL,Europe,Western Europe,GB,2024,0
Hybrid-Full,HEV-Full (DIESEL),DIESEL,Europe,Western Europe,GB,2025,0
Hybrid-Full,HEV-Full (DIESEL),DIESEL,Europe,Western Europe,GB,2026,0
Hybrid-Full,HEV-Full (DIESEL),DIESEL,Europe,Western Europe,GB,2027,0
Hybrid-Full,HEV-Full (DIESEL),DIESEL,Europe,Western Europe,GB,2028,0
Hybrid-Full,HEV-Full (DIESEL),DIESEL,Europe,Western Europe,GB,2029,0
